frame,expression
5290,neutral
5295,neutral
5300,neutral
5305,neutral
5310,neutral
5315,neutral
5320,neutral
5325,neutral
5330,neutral
5335,neutral
5340,neutral
5345,neutral
5350,neutral
5355,neutral
5360,neutral
5365,neutral
5370,neutral
5375,neutral
5380,neutral
5385,neutral
5390,neutral
5395,neutral
5400,neutral
5405,neutral
5410,neutral
5415,neutral
5420,neutral
5425,neutral
5430,neutral
5435,neutral
5440,neutral
5445,neutral
5450,neutral
5455,neutral
5460,neutral
5465,neutral
5470,neutral
5475,neutral
5480,neutral
5485,neutral
5490,neutral
5495,neutral
5500,neutral
5505,neutral
5510,neutral
5515,neutral
5520,neutral
5525,neutral
5530,neutral
5535,neutral
5540,neutral
5545,neutral
5550,neutral
5555,neutral
5560,neutral
5565,neutral
5570,neutral
5575,neutral
5580,neutral
5585,neutral
5590,neutral
5595,neutral
5600,neutral
5605,neutral
5610,neutral
5615,neutral
5620,neutral
5625,neutral
5630,neutral
5635,neutral
5640,neutral
5645,neutral
5650,neutral
5655,neutral
5660,neutral
5665,neutral
5670,neutral
5675,neutral
5680,neutral
5685,neutral
5690,neutral
5695,neutral
5700,neutral
5705,neutral
5710,neutral
5715,neutral
5720,neutral
5725,neutral
5730,neutral
5735,neutral
5740,neutral
5745,neutral
5750,neutral
5755,neutral
5760,neutral
5765,neutral
5770,neutral
5775,neutral
5780,neutral
5785,neutral
5790,neutral
5795,neutral
5800,neutral
5805,neutral
5810,neutral
5815,neutral
5820,neutral
5825,neutral
5830,neutral
5835,neutral
5840,neutral
5845,neutral
5850,neutral
5855,neutral
5860,neutral
5865,neutral
5870,neutral
5875,neutral
5880,neutral
5885,neutral
5890,neutral
5895,neutral
5900,neutral
5905,neutral
5910,neutral
5915,neutral
5920,neutral
5925,neutral
5930,neutral
5935,neutral
5940,neutral
5945,neutral
5950,neutral
5955,neutral
5960,neutral
5965,neutral
5970,neutral
5975,neutral
5980,neutral
5985,neutral
5990,neutral
5995,neutral
6000,neutral
6005,neutral
6010,neutral
6015,neutral
6020,neutral
6025,neutral
6030,neutral
6035,neutral
6040,neutral
6045,neutral
6050,neutral
6055,neutral
6060,neutral
6065,neutral
6070,neutral
6075,neutral
6080,neutral
6085,neutral
6090,neutral
6095,neutral
6100,neutral
6105,neutral
6110,neutral
6115,neutral
6120,neutral
6125,neutral
6130,neutral
6135,neutral
6140,neutral
6145,neutral
6150,neutral
6155,neutral
6160,neutral
6165,neutral
6170,neutral
6175,neutral
6180,neutral
6185,neutral
6190,neutral
6195,neutral
6200,neutral
6205,neutral
6210,neutral
6215,neutral
6220,neutral
6225,neutral
6230,neutral
6235,neutral
6240,neutral
6245,neutral
6250,neutral
6255,neutral
6260,neutral
6265,neutral
6270,neutral
6275,neutral
6280,neutral
6285,neutral
6290,neutral
6295,neutral
6300,neutral
6305,neutral
6310,neutral
6315,neutral
6320,neutral
6325,neutral
6330,neutral
6335,neutral
6340,neutral
6345,neutral
6350,neutral
6355,neutral
6360,neutral
6365,neutral
6370,neutral
6375,neutral
6380,neutral
6385,neutral
6390,neutral
6395,neutral
6400,neutral
6405,neutral
6410,neutral
6415,neutral
6420,neutral
6425,neutral
6430,neutral
6435,neutral
6440,neutral
6445,neutral
6450,neutral
6455,neutral
6460,neutral
6465,neutral
6470,neutral
6475,neutral
6480,neutral
6485,neutral
6490,neutral
6495,neutral
6500,neutral
6505,neutral
6510,neutral
6515,neutral
6520,neutral
6525,neutral
6530,neutral
6535,neutral
6540,neutral
6545,neutral
6550,neutral
6555,neutral
6560,neutral
6565,neutral
6570,neutral
6575,neutral
6580,neutral
6585,neutral
6590,neutral
6595,neutral
6600,neutral
6605,neutral
6610,neutral
6615,neutral
6620,neutral
6625,neutral
6630,neutral
6635,neutral
6640,neutral
6645,neutral
6650,neutral
6655,neutral
6660,neutral
6665,neutral
6670,neutral
6675,neutral
6680,neutral
6685,neutral
6690,neutral
6695,neutral
6700,neutral
6705,neutral
6710,neutral
6715,neutral
6720,neutral
6725,neutral
6730,neutral
6735,neutral
6740,neutral
6745,neutral
6750,neutral
6755,neutral
6760,neutral
6765,neutral
6770,neutral
6775,neutral
6780,neutral
6785,neutral
6790,neutral
6795,neutral
6800,neutral
6805,neutral
6810,neutral
6815,neutral
6820,neutral
6825,neutral
6830,neutral
6835,neutral
6840,neutral
6845,neutral
6850,neutral
6855,neutral
6860,neutral
6865,neutral
6870,neutral
6875,neutral
6880,neutral
6885,neutral
6890,neutral
6895,neutral
6900,neutral
6905,neutral
6910,neutral
6915,neutral
6920,neutral
6925,neutral
6930,neutral
6935,neutral
6940,neutral
6945,neutral
6950,neutral
6955,neutral
6960,neutral
6965,neutral
6970,neutral
6975,neutral
6980,neutral
6985,neutral
6990,neutral
6995,neutral
7000,neutral
7005,neutral
7010,neutral
7015,neutral
7020,neutral
7025,neutral
7030,neutral
7035,neutral
7040,neutral
7045,neutral
7050,neutral
7055,neutral
7060,neutral
7065,neutral
7070,neutral
7075,neutral
7080,neutral
7085,neutral
7090,neutral
7095,neutral
7100,neutral
7105,neutral
7110,neutral
7115,neutral
7120,neutral
7125,neutral
7130,neutral
7135,neutral
7140,neutral
7145,neutral
7150,neutral
7155,neutral
7160,neutral
7165,neutral
7170,neutral
7175,neutral
7180,neutral
7185,neutral
7190,neutral
7195,neutral
7200,neutral
7205,neutral
7210,neutral
7215,neutral
7220,neutral
7225,neutral
7230,neutral
7235,neutral
7240,neutral
7245,neutral
7250,neutral
7255,neutral
7260,neutral
7265,neutral
7270,neutral
7275,neutral
7280,neutral
7285,neutral
7290,neutral
7295,neutral
7300,neutral
7305,neutral
7310,neutral
